gene_id,symbol
228839,Tgif2
245583,Tgif2lx
57314,Th1l
69009,Thap7
21681,Thoc4
21833,Thra
230753,Thrap3
21834,Thrb
21843,Tial1
403175,Tigd4
21853,Timeless
21885,Tle1
21886,Tle2
21887,Tle3
114606,Tle6
21908,Tlx1
21909,Tlx2
27140,Tlx3
232286,Tmf1
21929,Tnfaip3
78784,Tnrc4
22057,Tob1
68276,Toe1
21974,Top2b
106021,Topors
252838,Tox
269389,Tox2
244579,Tox3
268741,Tox4
224829,Trerf1
228775,Trib3
69097,Trim15
94092,Trim16
20821,Trim21
21848,Trim24
217069,Trim25
19720,Trim27
21849,Trim28
224762,Trim31
69807,Trim32
94093,Trim33
109181,Trip11
69716,Trip13
56404,Trip4
22051,Trip6
22059,Trp53
27223,Trp53bp1
22061,Trp63
22062,Trp73
83925,Trps1
100683,Trrap
21807,Tsc22d1
72033,Tsc22d2
14605,Tsc22d3
78829,Tsc22d4
22088,Tsg101
110796,Tshz1
228911,Tshz2
243931,Tshz3
74044,Ttf2
22158,Tulp3
68842,Tulp4
22160,Twist1
53323,Ube2k
170644,Ubn1
22221,Ubp1
21429,Ubtf
20184,Uimc1
19704,Upf1
22278,Usf1
22282,Usf2
22286,Utf1
22326,Vax1
24113,Vax2
353513,VCY1B
22337,Vdr
22344,Vezf1
170828,Vgll1
215031,Vgll2
22346,Vhl
114889,Vsx1
12677,Vsx2
60321,Wbp11
75410,Wbp7
218973,Wdhd1
107823,Whsc1
234135,Whsc1l1
24116,Whsc2
22431,Wt1
107568,Wwp1
97064,Wwtr1
67439,Xab2
22433,Xbp1
22591,Xpc
74335,Xrcc3
22596,Xrcc5
14375,Xrcc6
67057,Yaf2
22608,Ybx1
53422,Ybx2
208146,Yeats2
64050,Yeats4
231386,Ythdc1
22632,Yy1
268564,Zbtb1
229055,Zbtb10
271377,Zbtb11
193736,Zbtb12
235320,Zbtb16
22642,Zbtb17
381990,Zbtb2
56490,Zbtb20
81630,Zbtb22
268294,Zbtb24
109929,Zbtb25
320633,Zbtb26
75291,Zbtb3
58206,Zbtb32
56805,Zbtb33
241311,Zbtb34
245007,Zbtb38
320080,Zbtb39
230848,Zbtb40
71834,Zbtb43
232879,Zbtb45
100090,Zbtb48
230119,Zbtb5
241322,Zbtb6
16969,Zbtb7a
22724,Zbtb7b
474156,Zbtb9
243983,Zdhhc13
108672,Zdhhc15
74168,Zdhhc16
70546,Zdhhc2
68268,Zdhhc21
66980,Zdhhc6
102193,Zdhhc7
208884,Zdhhc9
21417,Zeb1
24136,Zeb2
239102,Zfhx2
11906,Zfhx3
18139,Zfml
22640,Zfp1
22646,Zfp105
22648,Zfp11
65020,Zfp110
56707,Zfp111
57745,Zfp112
56314,Zfp113
231866,Zfp12
243833,Zfp128
22654,Zfp13
72465,Zfp131
243906,Zfp14
77264,Zfp142
20841,Zfp143
26465,Zfp146
22661,Zfp148
72154,Zfp157
224585,Zfp160
22666,Zfp161
67911,Zfp169
385674,Zfp174
210135,Zfp180
